Augmentation,RepRequired,BasePrice,CurrentPrice,Category,AvailableFrom,Prereqs,Hacking_Deviation,Reputation_Deviation,MoneyWork_Deviation,Hacknet_Deviation,Combat_Deviation,Charisma_Deviation,Bladeburner_Deviation,Other_Deviation,Hacking_ValueDensity,Reputation_ValueDensity,MoneyWork_ValueDensity,Hacknet_ValueDensity,Combat_ValueDensity,Charisma_ValueDensity,Bladeburner_ValueDensity,Other_ValueDensity,hacking,hacking_chance,hacking_speed,hacking_money,hacking_grow,hacking_exp,faction_rep,company_rep,work_money,crime_money,crime_success,hacknet_node_money,hacknet_node_purchase_cost,hacknet_node_ram_cost,hacknet_node_core_cost,hacknet_node_level_cost,strength,strength_exp,defense,defense_exp,dexterity,dexterity_exp,agility,agility_exp,charisma,charisma_exp,bladeburner_max_stamina,bladeburner_stamina_gain,bladeburner_analysis,bladeburner_success_chance,dnet_money
Augmented Targeting II,8750,85000000,85000000,Combat,The Dark Army; The Syndicate; Sector-12; OmniTek Incorporated; KuaiGong International; Blade Industries; The Black Hand,Augmented Targeting I,,,,,0.2,,,,,,,,2.286e-05,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,
Cranial Signal Processors - Gen I,10000,140000000,140000000,Hacking,CyberSec; NiteSec; The Black Hand,,0.06,,,,,,,,6e-06,,,,,,,,1.05,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HemoRecirculator,10000,90000000,90000000,Charisma; Combat,Tetrads; The Dark Army; The Syndicate; The Black Hand,,,,,,0.32,0.08,,,,,,,3.2e-05,8e-06,,,,,,,,,,,,,,,,,,,1.08,,1.08,,1.08,,1.08,,1.08,,,,,,
Neurotrainer II,10000,90000000,90000000,Charisma; Combat; Hacking,BitRunners; NiteSec; The Black Hand,,0.15,,,,0.6,0.15,,,1.5e-05,,,,6e-05,1.5e-05,,,,,,,,1.15,,,,,,,,,,,,1.15,,1.15,,1.15,,1.15,,1.15,,,,,
SoA - Beauty of Aphrodite,10000,1000000,1000000,Charisma,Shadows of Anarchy,,,,,,,0.1,,,,,,,,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,
SoA - Chaos of Dionysus,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoA - Flood of Poseidon,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoA - Hunt of Artemis,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoA - Knowledge of Apollo,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoA - Might of Ares,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoA - Trickery of Hermes,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoA - Wisdom of Athena,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoA - phyzical WKS harmonizer,10000,1000000,1000000,,Shadows of Anarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADE-51b Tesla Armor,12500,2750000000,2750000000,Bladeburner; Combat,Bladeburners,,,,,,0.16,,0.05,,,,,,1.28e-05,,4e-06,,,,,,,,,,,,,,,,,,1.04,,1.04,,1.04,,1.04,,,,,1.02,,1.03,
BrachiBlades,12500,180000000,180000000,Combat; MoneyWork,The Syndicate,,,,0.25,,0.3,,,,,,2e-05,,2.4e-05,,,,,,,,,,,,,1.15,1.1,,,,,,1.15,,1.15,,,,,,,,,,,,
CashRoot Starter Kit,12500,250000000,250000000,,Sector-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacknet Node Core Direct-Neural Interface,12500,120000000,120000000,Hacknet,Netburners,,,,,0.45,,,,,,,,3.6e-05,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,
Hyperion Plasma Cannon V1,12500,5500000000,5500000000,Bladeburner,Bladeburners,,,,,,,,0.06,,,,,,,,4.8e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,
BLADE-51b Tesla Armor: IPU Upgrade,15000,2200000000,2200000000,Bladeburner,Bladeburners,BLADE-51b Tesla Armor,,,,,,,0.17,,,,,,,,1.133e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.02,
DermaForce Particle Barrier,15000,100000000,100000000,Charisma; Combat,Volhaven,,,,,,0.4,0.05,,,,,,,2.667e-05,3.33e-06,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,1.05,,,,,,
Embedded Netburner Module,15000,500000000,500000000,Hacking,BitRunners; The Black Hand; NiteSec; ECorp; MegaCorp; Fulcrum Secret Technologies; NWO; Blade Industries,,0.08,,,,,,,,5.33e-06,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetism Amplifier,15000,500000000,500000000,Charisma; Reputation,The Black Hand; The Dark Army,,,0.1,,,,0.05,,,,6.67e-06,,,,3.33e-06,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,1.05,,,,,,
BLADE-51b Tesla Armor: Power Cells Upgrade,18750,5500000000,5500000000,Bladeburner,Bladeburners,BLADE-51b Tesla Armor,,,,,,,0.12,,,,,,,,6.4e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.02,,1.05,
Combat Rib II,18750,130000000,130000000,Combat,The Dark Army; The Syndicate; Volhaven; OmniTek Incorporated; KuaiGong International; Blade Industries; The Black Hand,Combat Rib I,,,,,0.28,,,,,,,,1.493e-05,,,,,,,,,,,,,,,,,,,,1.14,,1.14,,,,,,,,,,,,
Cranial Signal Processors - Gen II,18750,250000000,250000000,Hacking,CyberSec; NiteSec; The Black Hand,Cranial Signal Processors - Gen I,0.14,,,,,,,,7.47e-06,,,,,,,,1.07,1.05,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vangelis Virus,18750,5500000000,5500000000,Bladeburner; Charisma; Combat,Bladeburners,,,,,,0.1,0.1,0.14,,,,,,5.33e-06,5.33e-06,7.47e-06,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,1.1,,,1.1,1.04,
Blade's Runners,20000,16500000000,16500000000,Bladeburner; Combat,Bladeburners,,,,,,0.05,,0.1,,,,,,2.5e-06,,5e-06,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,1.05,1.05,,,
Neural-Retention Enhancement,20000,500000000,500000000,Hacking,NiteSec,,0.25,,,,,,,,1.25e-05,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
BLADE-51b Tesla Armor: Energy Shielding Upgrade,21250,11000000000,11000000000,Bladeburner; Combat,Bladeburners,BLADE-51b Tesla Armor,,,,,0.05,,0.06,,,,,,2.35e-06,,2.82e-06,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,1.06,
SmartSonar Implant,22500,150000000,150000000,Combat; MoneyWork,Slum Snakes,,,,0.25,,0.25,,,,,,1.111e-05,,1.111e-05,,,,,,,,,,,,,1.25,,,,,,,,,,,1.1,1.15,,,,,,,,,
Eloquence Module,25000,500000000,500000000,Charisma; MoneyWork,Speakers for the Dead; The Black Hand,,,,0.3,,,0.05,,,,,1.2e-05,,,2e-06,,,,,,,,,,,1.2,,1.1,,,,,,,,,,,,,,1.05,,,,,,
Hyperion Plasma Cannon V2,25000,11000000000,11000000000,Bladeburner,Bladeburners,Hyperion Plasma Cannon V1,,,,,,,0.08,,,,,,,,3.2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,
I.N.T.E.R.L.I.N.K.E.D,25000,11000000000,11000000000,Bladeburner; Combat,Bladeburners,,,,,,0.2,,0.1,,,,,,8e-06,,4e-06,,,,,,,,,,,,,,,,,,,1.05,,1.05,,1.05,,1.05,,,1.1,,,,
Neurotrainer III,25000,260000000,260000000,Charisma; Combat; Hacking,NWO; Four Sigma; The Black Hand,,0.2,,,,0.8,0.2,,,8e-06,,,,3.2e-05,8e-06,,,,,,,,1.2,,,,,,,,,,,,1.2,,1.2,,1.2,,1.2,,1.2,,,,,
Power Recirculation Core,25000,360000000,360000000,Charisma; Combat; Hacking,Tetrads; The Dark Army; The Syndicate; NWO; The Black Hand,,0.15,,,,0.6,0.15,,,6e-06,,,,2.4e-05,6e-06,,,1.05,,,,,1.1,,,,,,,,,,,1.05,1.1,1.05,1.1,1.05,1.1,1.05,1.1,1.05,1.1,,,,,
TITN-41 Gene-Modification Injection,25000,380000000,380000000,Charisma,Silhouette; The Black Hand,,,,,,,0.3,,,,,,,,1.2e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.15,,,,,
Augmented Targeting III,27500,230000000,230000000,Combat,The Dark Army; The Syndicate; OmniTek Incorporated; KuaiGong International; Blade Industries; The Covenant; The Black Hand,Augmented Targeting II; Augmented Targeting I,,,,,0.3,,,,,,,,1.091e-05,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,
BLADE-51b Tesla Armor: Unibeam Upgrade,31250,33000000000,33000000000,Bladeburner,Bladeburners,BLADE-51b Tesla Armor,,,,,,,0.08,,,,,,,,2.56e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,
GOLEM Serum,31250,22000000000,22000000000,Bladeburner; Combat,Bladeburners,,,,,,0.28,,0.05,,,,,,8.96e-06,,1.6e-06,,,,,,,,,,,,,,,,,,1.07,,1.07,,1.07,,1.07,,,,,1.05,,,
Combat Rib III,35000,240000000,240000000,Combat,The Dark Army; The Syndicate; OmniTek Incorporated; KuaiGong International; Blade Industries; The Covenant; The Black Hand,Combat Rib II; Combat Rib I,,,,,0.36,,,,,,,,1.029e-05,,,,,,,,,,,,,,,,,,,,1.18,,1.18,,,,,,,,,,,,
Nanofiber Weave,37500,250000000,250000000,Charisma; Combat,The Dark Army; The Syndicate; OmniTek Incorporated; Blade Industries; Tian Di Hui; Speakers for the Dead; Fulcrum Secret Technologies; The Black Hand,,,,,,0.4,0.05,,,,,,,1.067e-05,1.33e-06,,,,,,,,,,,,,,,,,,,1.2,,1.2,,,,,,1.05,,,,,,
Neuregen Gene Modification,37500,750000000,750000000,Hacking,Chongqing,,0.4,,,,,,,,1.067e-05,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
The Shadow's Simulacrum,37500,800000000,800000000,Reputation,The Syndicate; The Dark Army; Speakers for the Dead; The Black Hand,,,0.3,,,,,,,,8e-06,,,,,,,,,,,,,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,
Vangelis Virus 3.0,37500,22000000000,22000000000,Bladeburner; Charisma; Combat,Bladeburners,Vangelis Virus,,,,,0.2,0.1,0.2,,,,,,5.33e-06,2.67e-06,5.33e-06,,,,,,,,,,,,,,,,,,,,,1.1,,1.1,,,,1.1,,,1.15,1.05,
Glibness Enhancement,40500,5000000000,5000000000,Charisma; Reputation,Tetrads; Bladeburners; The Black Hand,,,0.1,,,,0.2,,,,2.47e-06,,,,4.94e-06,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,1.2,,,,,
Bionic Spine,45000,250000000,250000000,Combat,Speakers for the Dead; The Syndicate; KuaiGong International; OmniTek Incorporated; Blade Industries; The Black Hand,,,,,,0.6,,,,,,,,1.333e-05,,,,,,,,,,,,,,,,,,,,1.15,,1.15,,1.15,,1.15,,,,,,,,
CRTX42-AA Gene Modification,45000,450000000,450000000,Hacking,NiteSec,,0.23,,,,,,,,5.11e-06,,,,,,,,1.08,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,
Cranial Signal Processors - Gen III,50000,1100000000,1100000000,Hacking,NiteSec; The Black Hand; BitRunners,Cranial Signal Processors - Gen II; Cranial Signal Processors - Gen I,0.26,,,,,,,,5.2e-06,,,,,,,,1.09,,1.02,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuralstimulator,50000,6000000000,6000000000,Hacking,The Black Hand; Chongqing; Sector-12; New Tokyo; Aevum; Ishima; Volhaven; Bachman & Associates; Clarke Incorporated; Four Sigma,,0.24,,,,,,,,4.8e-06,,,,,,,,,1.1,1.02,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,
ADR-V2 Pheromone Gene,62500,1100000000,1100000000,Charisma; Reputation,Silhouette; Four Sigma; Bachman & Associates; Clarke Incorporated; The Black Hand,,,0.4,,,,0.1,,,,6.4e-06,,,,1.6e-06,,,,,,,,,1.2,1.2,,,,,,,,,,,,,,,,,1.1,,,,,,
BLADE-51b Tesla Armor: Omnibeam Upgrade,62500,55000000000,55000000000,Bladeburner,Bladeburners,BLADE-51b Tesla Armor: Unibeam Upgrade,,,,,,,0.1,,,,,,,,1.6e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,
Bionic Arms,62500,550000000,550000000,Combat,Tetrads,,,,,,0.6,,,,,,,,9.6e-06,,,,,,,,,,,,,,,,,,,,1.3,,,,1.3,,,,,,,,,,
FocusWire,75000,1800000000,1800000000,Charisma; Combat; Hacking; MoneyWork; Reputation,Bachman & Associates; Clarke Incorporated; Four Sigma; KuaiGong International; The Black Hand,,0.05,0.1,0.2,,0.2,0.05,,,6.7e-07,1.33e-06,2.67e-06,,2.67e-06,6.7e-07,,,,,,,,1.05,,1.1,1.2,,,,,,,,,1.05,,1.05,,1.05,,1.05,,1.05,,,,,
Neuroreceptor Management Implant,75000,1100000000,1100000000,,Tian Di Hui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhanced Myelin Sheathing,100000,2750000000,2750000000,Hacking,Fulcrum Secret Technologies; BitRunners; The Black Hand,,0.21,,,,,,,,2.1e-06,,,,,,,,1.08,,1.03,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
PCMatrix,100000,4000000000,4000000000,Charisma; MoneyWork; Reputation,Aevum,,,0.1554,0.9324,,,0.1554,,,,1.55e-06,9.32e-06,,,1.55e-06,,,,,,,,,1.0777,1.0777,1.777,1.0777,1.0777,,,,,,,,,,,,,,1.0777,1.0777,,,,,
The Black Hand,100000,1100000000,1100000000,Combat; Hacking,The Black Hand,,0.22,,,,0.3,,,,2.2e-06,,,,3e-06,,,,1.1,,1.02,1.1,,,,,,,,,,,,,1.15,,,,1.15,,,,,,,,,,
DataJack,112500,900000000,900000000,Hacking,BitRunners; The Black Hand; NiteSec; Chongqing; New Tokyo,,0.25,,,,,,,,2.22e-06,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranial Signal Processors - Gen IV,125000,2200000000,2200000000,Hacking,The Black Hand; BitRunners,Cranial Signal Processors - Gen III; Cranial Signal Processors - Gen II; Cranial Signal Processors - Gen I,0.47,,,,,,,,3.76e-06,,,,,,,,,,1.02,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tongue Module,125000,250000000,250000000,Charisma,Speakers for the Dead; The Black Hand,,,,,,,0.4,,,,,,,,3.2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.3,,,,,
Bionic Legs,150000,750000000,750000000,Combat,Speakers for the Dead; The Syndicate; KuaiGong International; OmniTek Incorporated; Blade Industries; The Black Hand,,,,,,0.6,,,,,,,,4e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,
HyperSight Corneal Implant,150000,5500000000,5500000000,Charisma; Combat; Hacking,Blade Industries; KuaiGong International; The Black Hand,,0.13,,,,0.4,0.03,,,8.7e-07,,,,2.67e-06,2e-07,,,,,1.03,1.1,,,,,,,,,,,,,,,,,1.4,,,,1.03,,,,,,
Embedded Netburner Module Core Implant,175000,5000000000,5000000000,Hacking,BitRunners; The Black Hand; ECorp; MegaCorp; Fulcrum Secret Technologies; NWO; Blade Industries,Embedded Netburner Module,0.3,,,,,,,,1.71e-06,,,,,,,,1.07,1.03,1.03,1.1,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,
Neuronal Densification,187500,2750000000,2750000000,Hacking,Clarke Incorporated; The Black Hand,,0.28,,,,,,,,1.49e-06,,,,,,,,1.15,,1.03,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
The Illustrated Primer,187500,6750000000,6750000000,Charisma,The Dark Army; The Syndicate; The Black Hand,,,,,,,0.5,,,,,,,,2.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.4,,,,,
Neural Accelerator,200000,3500000000,3500000000,Hacking,BitRunners; The Black Hand,,0.45,,,,,,,,2.25e-06,,,,,,,,1.1,,,1.2,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,
Graphene BrachiBlades Upgrade,225000,5000000000,5000000000,Combat; MoneyWork,Speakers for the Dead; The Black Hand,BrachiBlades,,,0.4,,0.8,,,,,,1.78e-06,,3.56e-06,,,,,,,,,,,,,1.3,1.1,,,,,,1.4,,1.4,,,,,,,,,,,,
Social Dynamics Processor,225000,2400000000,2400000000,Charisma; Reputation,MegaCorp; ECorp; OmniTek Incorporated; The Black Hand,,,0.3,,,,0.1,,,,1.33e-06,,,,4.4e-07,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,1.1,,,,,,
Cranial Signal Processors - Gen V,250000,4500000000,4500000000,Hacking,BitRunners,Cranial Signal Processors - Gen IV; Cranial Signal Processors - Gen III; Cranial Signal Processors - Gen II; Cranial Signal Processors - Gen I,1.3,,,,,,,,5.2e-06,,,,,,,,1.3,,,1.25,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Bio-neural Network Implant,275000,6000000000,6000000000,Hacking,BitRunners; Fulcrum Secret Technologies; The Black Hand,,0.3,,,,,,,,1.09e-06,,,,,,,,1.12,,1.03,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstable Circadian Modulator,362500,10000000000,10000000000,Hacknet,Speakers for the Dead; The Black Hand,,,,,0.8,,,,,,,,2.21e-06,,,,,,,,,,,,,,,,1.2,0.85,0.85,0.85,0.85,,,,,,,,,,,,,,,
Enhanced Social Interaction Implant,375000,2750000000,2750000000,Charisma,Bachman & Associates; NWO; Clarke Incorporated; OmniTek Incorporated; Four Sigma; The Black Hand,,,,,,,1.2,,,,,,,,3.2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.6,,,,,
PC Direct-Neural Interface,375000,7500000000,7500000000,Hacking; Reputation,Four Sigma; OmniTek Incorporated; ECorp; Blade Industries; The Black Hand,,0.08,0.3,,,,,,,2.1e-07,8e-07,,,,,,,1.08,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,
