Faction,Augmentation,RepRequired,CurrentPrice,Category,ValueDensity,AlsoUnlockedAtThisRepOrLess,CountAlsoUnlocked
Bladeburners,The Blade's Simulacrum,1250,300000000000,,0.0,EsperTech Bladeburner Eyewear,1
Bladeburners,EMS-4 Recombination,2500,550000000,Bladeburner,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum,2
Bladeburners,ORION-MKIV Shoulder,6250,1100000000,Bladeburner; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination,3
Bladeburners,Hyperion Plasma Cannon V1,12500,5500000000,Bladeburner,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; BLADE-51b Tesla Armor,5
Bladeburners,BLADE-51b Tesla Armor,12500,2750000000,Bladeburner; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1,5
Bladeburners,BLADE-51b Tesla Armor: IPU Upgrade,15000,2200000000,Bladeburner,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor,6
Bladeburners,Vangelis Virus,18750,5500000000,Bladeburner; Charisma; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; BLADE-51b Tesla Armor: Power Cells Upgrade,8
Bladeburners,BLADE-51b Tesla Armor: Power Cells Upgrade,18750,5500000000,Bladeburner,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus,8
Bladeburners,Blade's Runners,20000,16500000000,Bladeburner; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade,9
Bladeburners,BLADE-51b Tesla Armor: Energy Shielding Upgrade,21250,11000000000,Bladeburner; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners,10
Bladeburners,Hyperion Plasma Cannon V2,25000,11000000000,Bladeburner,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners; BLADE-51b Tesla Armor: Energy Shielding Upgrade; I.N.T.E.R.L.I.N.K.E.D,12
Bladeburners,I.N.T.E.R.L.I.N.K.E.D,25000,11000000000,Bladeburner; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners; BLADE-51b Tesla Armor: Energy Shielding Upgrade; Hyperion Plasma Cannon V2,12
Bladeburners,GOLEM Serum,31250,22000000000,Bladeburner; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners; BLADE-51b Tesla Armor: Energy Shielding Upgrade; Hyperion Plasma Cannon V2; I.N.T.E.R.L.I.N.K.E.D; BLADE-51b Tesla Armor: Unibeam Upgrade,14
Bladeburners,BLADE-51b Tesla Armor: Unibeam Upgrade,31250,33000000000,Bladeburner,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners; BLADE-51b Tesla Armor: Energy Shielding Upgrade; Hyperion Plasma Cannon V2; I.N.T.E.R.L.I.N.K.E.D; GOLEM Serum,14
Bladeburners,Vangelis Virus 3.0,37500,22000000000,Bladeburner; Charisma; Combat,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners; BLADE-51b Tesla Armor: Energy Shielding Upgrade; Hyperion Plasma Cannon V2; I.N.T.E.R.L.I.N.K.E.D; GOLEM Serum; BLADE-51b Tesla Armor: Unibeam Upgrade,15
Bladeburners,Glibness Enhancement,40500,5000000000,Charisma; Reputation,2.47e-06,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners; BLADE-51b Tesla Armor: Energy Shielding Upgrade; Hyperion Plasma Cannon V2; I.N.T.E.R.L.I.N.K.E.D; GOLEM Serum; BLADE-51b Tesla Armor: Unibeam Upgrade; Vangelis Virus 3.0,16
Bladeburners,BLADE-51b Tesla Armor: Omnibeam Upgrade,62500,55000000000,Bladeburner,0.0,EsperTech Bladeburner Eyewear; The Blade's Simulacrum; EMS-4 Recombination; ORION-MKIV Shoulder; Hyperion Plasma Cannon V1; BLADE-51b Tesla Armor; BLADE-51b Tesla Armor: IPU Upgrade; Vangelis Virus; BLADE-51b Tesla Armor: Power Cells Upgrade; Blade's Runners; BLADE-51b Tesla Armor: Energy Shielding Upgrade; Hyperion Plasma Cannon V2; I.N.T.E.R.L.I.N.K.E.D; GOLEM Serum; BLADE-51b Tesla Armor: Unibeam Upgrade; Vangelis Virus 3.0; Glibness Enhancement,17
Chongqing,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
Chongqing,Nuoptimal Nootropic Injector Implant,5000,40000000,Charisma; Reputation,4e-05,NeuroFlux Governor,1
Chongqing,Speech Processor Implant,7500,100000000,Charisma,0.0,NeuroFlux Governor; Nuoptimal Nootropic Injector Implant,2
Chongqing,Neuregen Gene Modification,37500,750000000,Hacking,1.067e-05,NeuroFlux Governor; Nuoptimal Nootropic Injector Implant; Speech Processor Implant,3
Chongqing,Neuralstimulator,50000,6000000000,Hacking,4.8e-06,NeuroFlux Governor; Nuoptimal Nootropic Injector Implant; Speech Processor Implant; Neuregen Gene Modification,4
Chongqing,DataJack,112500,900000000,Hacking,2.22e-06,NeuroFlux Governor; Nuoptimal Nootropic Injector Implant; Speech Processor Implant; Neuregen Gene Modification; Neuralstimulator,5
Church of the Machine God,Stanek's Gift - Genesis,0,0,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,1.6,,0
Church of the Machine God,Stanek's Gift - Awakening,1000000,0,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,8.5e-07,Stanek's Gift - Genesis,1
Church of the Machine God,Stanek's Gift - Serenity,100000000,0,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,1e-08,Stanek's Gift - Genesis; Stanek's Gift - Awakening,2
Clarke Incorporated,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
Clarke Incorporated,Speech Enhancement,2500,25000000,Charisma; Reputation,4e-05,NeuroFlux Governor,1
Clarke Incorporated,Nuoptimal Nootropic Injector Implant,5000,40000000,Charisma; Reputation,4e-05,NeuroFlux Governor; Speech Enhancement,2
Clarke Incorporated,Neuralstimulator,50000,6000000000,Hacking,4.8e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant,3
Clarke Incorporated,ADR-V2 Pheromone Gene,62500,1100000000,Charisma; Reputation,6.4e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator,4
Clarke Incorporated,FocusWire,75000,1800000000,Charisma; Combat; Hacking; Money/Work; Reputation,4.67e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator; ADR-V2 Pheromone Gene,5
Clarke Incorporated,Neuronal Densification,187500,2750000000,Hacking,1.49e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator; ADR-V2 Pheromone Gene; FocusWire,6
Clarke Incorporated,Enhanced Social Interaction Implant,375000,2750000000,Charisma,0.0,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator; ADR-V2 Pheromone Gene; FocusWire; Neuronal Densification,7
Clarke Incorporated,nextSENS Gene Modification,437500,3850000000,Charisma; Combat; Hacking,4.6e-07,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator; ADR-V2 Pheromone Gene; FocusWire; Neuronal Densification; Enhanced Social Interaction Implant,8
CyberSec,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
CyberSec,Neurotrainer I,1000,8000000,Charisma; Combat; Hacking,0.0001,NeuroFlux Governor,1
CyberSec,Synaptic Enhancement Implant,2000,15000000,Hacking,1.5e-05,NeuroFlux Governor; Neurotrainer I,2
CyberSec,BitWire,3750,20000000,Hacking,1.333e-05,NeuroFlux Governor; Neurotrainer I; Synaptic Enhancement Implant,3
CyberSec,Cranial Signal Processors - Gen I,10000,140000000,Hacking,6e-06,NeuroFlux Governor; Neurotrainer I; Synaptic Enhancement Implant; BitWire,4
CyberSec,Cranial Signal Processors - Gen II,18750,250000000,Hacking,7.47e-06,NeuroFlux Governor; Neurotrainer I; Synaptic Enhancement Implant; BitWire; Cranial Signal Processors - Gen I,5
Daedalus,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
Daedalus,Synfibril Muscle,437500,2250000000,Combat,0.0,NeuroFlux Governor,1
Daedalus,Embedded Netburner Module Analyze Engine,625000,12000000000,Hacking,1.6e-07,NeuroFlux Governor; Synfibril Muscle,2
Daedalus,Synthetic Heart,750000,5750000000,Charisma; Combat,0.0,NeuroFlux Governor; Synfibril Muscle; Embedded Netburner Module Analyze Engine,3
Daedalus,NEMEAN Subdermal Weave,875000,6500000000,Combat,0.0,NeuroFlux Governor; Synfibril Muscle; Embedded Netburner Module Analyze Engine; Synthetic Heart,4
Daedalus,Embedded Netburner Module Direct Memory Access Upgrade,1000000,14000000000,Hacking,6e-07,NeuroFlux Governor; Synfibril Muscle; Embedded Netburner Module Analyze Engine; Synthetic Heart; NEMEAN Subdermal Weave,5
Daedalus,Embedded Netburner Module Core V3 Upgrade,1750000,15000000000,Hacking,5.1e-07,NeuroFlux Governor; Synfibril Muscle; Embedded Netburner Module Analyze Engine; Synthetic Heart; NEMEAN Subdermal Weave; Embedded Netburner Module Direct Memory Access Upgrade,6
Daedalus,The Red Pill,2500000,0,,0.0,NeuroFlux Governor; Synfibril Muscle; Embedded Netburner Module Analyze Engine; Synthetic Heart; NEMEAN Subdermal Weave; Embedded Netburner Module Direct Memory Access Upgrade; Embedded Netburner Module Core V3 Upgrade,7
ECorp,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
ECorp,Embedded Netburner Module,15000,500000000,Hacking,5.33e-06,NeuroFlux Governor,1
ECorp,Embedded Netburner Module Core Implant,175000,5000000000,Hacking,1.71e-06,NeuroFlux Governor; Embedded Netburner Module,2
ECorp,Social Dynamics Processor,225000,2400000000,Charisma; Reputation,1.33e-06,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant,3
ECorp,PC Direct-Neural Interface,375000,7500000000,Hacking; Reputation,1.01e-06,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor,4
ECorp,PC Direct-Neural Interface Optimization Submodule,500000,9000000000,Hacking; Reputation,1.7e-06,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface,5
ECorp,Embedded Netburner Module Analyze Engine,625000,12000000000,Hacking,1.6e-07,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface; PC Direct-Neural Interface Optimization Submodule,6
ECorp,Graphene Bionic Legs Upgrade,750000,9000000000,Combat,0.0,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface; PC Direct-Neural Interface Optimization Submodule; Embedded Netburner Module Analyze Engine,7
ECorp,Embedded Netburner Module Core V2 Upgrade,1000000,9000000000,Hacking,6.3e-07,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface; PC Direct-Neural Interface Optimization Submodule; Embedded Netburner Module Analyze Engine; Graphene Bionic Legs Upgrade; Embedded Netburner Module Direct Memory Access Upgrade,9
ECorp,Embedded Netburner Module Direct Memory Access Upgrade,1000000,14000000000,Hacking,6e-07,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface; PC Direct-Neural Interface Optimization Submodule; Embedded Netburner Module Analyze Engine; Graphene Bionic Legs Upgrade; Embedded Netburner Module Core V2 Upgrade,9
ECorp,ECorp HVMind Implant,1500000,11000000000,Hacking,1.33e-06,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface; PC Direct-Neural Interface Optimization Submodule; Embedded Netburner Module Analyze Engine; Graphene Bionic Legs Upgrade; Embedded Netburner Module Core V2 Upgrade; Embedded Netburner Module Direct Memory Access Upgrade,10
ECorp,Graphene Bionic Spine Upgrade,1625000,12000000000,Combat,0.0,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface; PC Direct-Neural Interface Optimization Submodule; Embedded Netburner Module Analyze Engine; Graphene Bionic Legs Upgrade; Embedded Netburner Module Core V2 Upgrade; Embedded Netburner Module Direct Memory Access Upgrade; ECorp HVMind Implant,11
ECorp,Embedded Netburner Module Core V3 Upgrade,1750000,15000000000,Hacking,5.1e-07,NeuroFlux Governor; Embedded Netburner Module; Embedded Netburner Module Core Implant; Social Dynamics Processor; PC Direct-Neural Interface; PC Direct-Neural Interface Optimization Submodule; Embedded Netburner Module Analyze Engine; Graphene Bionic Legs Upgrade; Embedded Netburner Module Core V2 Upgrade; Embedded Netburner Module Direct Memory Access Upgrade; ECorp HVMind Implant; Graphene Bionic Spine Upgrade,12
Four Sigma,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
Four Sigma,Speech Enhancement,2500,25000000,Charisma; Reputation,4e-05,NeuroFlux Governor,1
Four Sigma,ADR-V1 Pheromone Gene,3750,35000000,Charisma; Reputation,5.333e-05,NeuroFlux Governor; Speech Enhancement,2
Four Sigma,Nuoptimal Nootropic Injector Implant,5000,40000000,Charisma; Reputation,4e-05,NeuroFlux Governor; Speech Enhancement; ADR-V1 Pheromone Gene,3
Four Sigma,Neurotrainer III,25000,260000000,Charisma; Combat; Hacking,8e-06,NeuroFlux Governor; Speech Enhancement; ADR-V1 Pheromone Gene; Nuoptimal Nootropic Injector Implant,4
Four Sigma,Neuralstimulator,50000,6000000000,Hacking,4.8e-06,NeuroFlux Governor; Speech Enhancement; ADR-V1 Pheromone Gene; Nuoptimal Nootropic Injector Implant; Neurotrainer III,5
Four Sigma,ADR-V2 Pheromone Gene,62500,1100000000,Charisma; Reputation,6.4e-06,NeuroFlux Governor; Speech Enhancement; ADR-V1 Pheromone Gene; Nuoptimal Nootropic Injector Implant; Neurotrainer III; Neuralstimulator,6
Four Sigma,FocusWire,75000,1800000000,Charisma; Combat; Hacking; Money/Work; Reputation,4.67e-06,NeuroFlux Governor; Speech Enhancement; ADR-V1 Pheromone Gene; Nuoptimal Nootropic Injector Implant; Neurotrainer III; Neuralstimulator; ADR-V2 Pheromone Gene,7
